site_code,site_name,start_url
cceiGyeonggi,경기창조경제혁신센터,https://ccei.creativekorea.or.kr/gyeonggi/custom/notice_list.do?&sPtime=all&page=1
jbf,(재)전남바이오진흥원,http://www.jbf.kr/main/board.action?cmsid=101050200000
cepaMarket,충남경제진흥원-공지사항,https://www.cepa.or.kr/notice/notice.do?pm=6&ms=32
cheongjucci,청주상공회의소,https://cheongjucci.korcham.net/front/board/boardContentsListPage.do?boardId=10701&menuId=1561
gib,경북바이오산업연구원,https://gib.re.kr/module/bbs/list.php?mid=/news/notice
dgdc,대구경북디자인진흥원,https://dgdp.or.kr/notice/public
cbcci,충남북부상공회의소,https://cbcci.korcham.net/front/board/boardContentsListPage.do?boardId=10413&menuId=3382
exportvoucher,수출지원기반활용사업,https://www.exportvoucher.com/portal/board/boardList?bbs_id=1
dgmif,대구경북첨단의료산업진흥재단,https://www.kmedihub.re.kr/index.do?menu_id=00000063
jepa,전라남도중소기업일자리경제진흥원-공지사항,https://www.jepa.kr/bbs/?b_id=notice&site=new_jepa&mn=426
smtech,중소기업 기술개발사업 종합관리시스템,https://www.smtech.go.kr/front/ifg/no/notice02
kca,한국방송통신전파진흥원,https://www.kca.kr/boardList.do?boardId=NOTICE&pageId=www47
itech,한국산업기술기획평가원,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmListView.do?prgmId=XPG201040000&rcveStatus=A
cceiJeju,제주창조경제혁신센터,https://ccei.creativekorea.or.kr/jeju/custom/notice_list.do?
kdata,한국데이터산업진흥원,https://www.kdata.or.kr/kr/board/notice_01/boardList.do
koema,한국전기산업진흥회,https://www.koema.or.kr/koema/report/total_notice.html
jbsos,전북소상공인광역지원센터((재)전북특별자치도경제통상진흥원),https://www.jbsos.or.kr/bbs/board.php?bo_table=s_sub04_01
iris,범부처통합연구지원시스템(한국과학기술기획평가원),https://www.iris.go.kr/contents/retrieveBsnsAncmBtinSituListView.do
seoulRndb,재단법인서울경제진흥원,https://seoul.rnbd.kr/client/c030100/c030100_00.jsp
utp,울산테크노파크,https://www.utp.or.kr/include/contents.php?mnuno=M0000018&menu_group=1&sno=0102
cceiPohang,포항창조경제혁신센터,https://ccei.creativekorea.or.kr/pohang/custom/notice_list.do?&sPtime=my&page=1
seoulsbdc,서울시 자영업지원센터,https://www.seoulsbdc.or.kr/bs/BS_LIST.do?boardCd=B061
gcube,경북문화재단 콘텐츠진흥원,https://gcube.or.kr:1021/home/sub1/sub1.asp
cceiDaeGu,대구창조경제혁신센터,https://ccei.creativekorea.or.kr/daegu/custom/notice_list.do?
pohangcci,포항상공회의소,http://pohangcci.korcham.net/front/board/boardContentsListPage.do?boardId=10275&menuId=1440
gyeongsancci,경산상공회의소,http://gyeongsancci.korcham.net/front/board/boardContentsListPage.do?boardId=10334&menuId=1905
gigca,광주미래차모빌리티진흥원,https://gama.or.kr/bbs/?b_id=green_notice&site=basic&mn=1136
scci,순천상공회의소,https://scci.korcham.net/front/board/boardContentsListPage.do?boardId=10734&menuId=2796
yeongcheoncci,영천상공회의소,http://yeongcheoncci.korcham.net/front/board/boardContentsListPage.do?boardId=10342&menuId=5170
win,대·중소기업·농어업협력재단,https://www.win-win.or.kr/kr/board/notice/boardList.do
jccia,전북특별자치도콘텐츠융합진흥원,https://www.jcon.or.kr/board/list.php?bbsId=BBSMSTR_000000000001&pageId=C000000016
anseongcci,안성상공회의소,https://anseongcci.korcham.net/front/board/boardContentsListPage.do?boardId=10123&menuId=2962
cceiBitgaram,빛가람창조경제혁신센터,https://ccei.creativekorea.or.kr/bitgaram/custom/notice_list.do?
gecci,경기동부상공회의소,https://gecci.korcham.net/front/board/boardContentsListPage.do?boardId=10756&menuId=1816
gimhaecci,김해상공회의소,https://gimhaecci.korcham.net/front/board/boardContentsListPage.do?boardId=10471&menuId=2330
gwba,강원지역산업진흥원,https://gw.riia.or.kr/board/notice
koita,한국산업기술진흥협회,https://www.koita.or.kr/board/commBoardLCRnDList.do
shiheungcci,시흥상공회의소,https://shiheungcci.korcham.net/front/board/boardContentsListPage.do?boardId=10497&menuId=2841
gumicci,구미상공회의소,https://gumicci.korcham.net/front/board/boardContentsListPage.do?boardId=10318&menuId=2103
yemi,영월산업진흥원,https://mybiz.yipa.or.kr/yipa/bbs_list.do?code=sub01b&keyvalue=sub01
dangjincci,당진상공회의소,https://dangjincci.korcham.net/front/board/boardContentsListPage.do?boardId=10802&menuId=2377
jntp,전남테크노파크,https://www.jntp.or.kr/base/board/list?boardManagementNo=16&menuLevel=2&menuNo=60
wonjucci,원주상공회의소,https://wonjucci.korcham.net/front/board/boardContentsListPage.do?boardId=10598&menuId=832
chungjucci,충주상공회의소,https://chungjucci.korcham.net/front/board/boardContentsListPage.do?boardId=10259&menuId=1051
pyeongtaekcci,평택상공회의소,https://pyeongtaekcci.korcham.net/front/board/boardContentsListPage.do?boardId=10160&menuId=1318
gncci,경기북부상공회의소,http://www.gncci.or.kr/front/board/boardContentsListPage.do?boardId=10146&menuId=5103
kunpocci,군포상공회의소,https://kunpocci.korcham.net/front/board/boardContentsListPage.do?boardId=10244&menuId=2201
gimcheoncci,김천상공회의소,https://gimcheoncci.korcham.net/front/board/boardContentsListPage.do?boardId=10238&menuId=2245
